Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 32,Unnamed: 33,Unnamed: 34
Sin dato,0,0,Datos erroneos no confiables de Sale-U,0,0,0,-,Sin datos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Ventas X Mes ,Ventas Reportadas,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,34,40,36,27,38,40,34,34,38,30,41,41,35,37,Sin dato,Sin dato,Sin dato
Piso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conversion,Sin dato,Sin dato
Piso ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",Historica,Año actual ,Ultimos 3 meses 
Leads ,71.5,71.5,76.0,87.0,55.0,92.0,77.0,57.0,43.0,50.0,64.0,71.0,64.0,80.0,43.0,65.0,59.0,63.0,71.0,58.0,72.0,81.0,76.0,97.0,94.0,105.0,79.0,115.0,85.0,36.0,0.12514482234473656,0.08901848605066053,0.10719889496800372
Efectivos ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,64.0,80.0,43.0,65.0,59.0,63.0,71.0,58.0,72.0,81.0,76.0,97.0,94.0,105.0,79.0,115.0,84.0,36.0,Sin dato,Sin dato,Sin dato
SDC ,0.0,0.0,0.0,0.0,0.0,22.0,32.0,28.0,38.0,32.0,42.0,34.0,23.0,28.0,13.0,16.0,13.0,12.0,22.0,21.0,24.0,21.0,27.0,27.0,18.0,24.0,18.0,24.0,22.0,7.0,Aporte,Sin dato,Sin dato
PDM ,22.0,13.0,35.0,40.0,28.0,35.0,31.0,28.0,14.0,25.0,32.0,28.0,33.0,32.0,28.0,34.0,31.0,29.0,44.0,31.0,48.0,43.0,22.0,46.0,28.0,41.0,36.0,45.0,42.0,16.0,Historica,Año actual ,Ultimos 3 meses 
Citas Programadas ,9.0,28.0,15.0,38.0,78.0,75.0,65.0,37.0,31.0,18.0,42.0,71.0,64.0,80.0,34.0,65.0,59.0,63.0,71.0,58.0,72.0,81.0,76.0,97.0,94.0,105.0,12.0,73.0,28.0,11.0,0.29422172988141276,0.23010964762456118,0.24083745950241459
